# UVnck7nWaB4: semantic sentence/utterance endings after OPENING.
# Authored by the assistant after reading the complete supplied transcript.
# Exact source-word suffix | punctuation. No words are rewritten or removed.
you know like it looks like two people getting out flaming swords|.
what's crazy is that the massive bright explosion that is on the back of the shape charge is now just like a little puff|.
yeah that is that is a bright explosion as well|.
bright explosion that's essentially High explosives like like C4 you know|.
you can see now that because we're seeing the jet it's only the tip that's the brightest part|.
this was entirely white and now we're seeing detail in just the front|.
this is blowing out|.
wow glancing blow|.
yeah it was a it was a not quite perfect shot|.
no but it's not easy|.
it's not easy but that was definitely an impact|.
so this is as dark as I can make it without going and buying some NDS|.
still blown out|.
so we should go and check out the shimatsu which was going at 2 million and was Ed to Oblivion|.
who there's like the tiniest little bit at the front|.
so this is with all our ND and we finally exposed the tip|.
we can finally clearly see the tip of the shape charge|.
I've never seen that before|.
I've never seen that before|.
I had I thought it would be more like a jet but it's literally just like a Teensy little tip|.
yeah the front tip is always just such a small surface area|.
it's minuscule|.
and these miss each other by millimet but obviously all of this side material still collides and you can see it brightening up|.
I mean it's very faintly brightening but you know to our eyes it was lighting up the whole frame that part|.
what's interesting to me is that the sort of cloud behind that initial tip was blown out on our footage like the whole Cloud|.
but that shows that the tip is even brighter than that cloud|.
you wouldn't be able to tell that from our footage|.
yeah exactly|.
I love it's still bright at the very front|.
it's it's whatever powder is pushing through and hitting the air is what is bright|.
but that is the only bit that's Max brightness|.
all these areas of Blackness were where we were starting to see orange|.
and all the area of white is what we can see in this shimasu shot|.
it's almost like it's been it's perfect|.
do you know what I mean|?
yeah I mean the only thing the only stuff we can't see here is the color but that is all the detail|.
that's fast|.
so probably only missed by a few M there|.
but unfortunately that was our final attempt due to uh lightning coming over again|.
what's interesting about that is is that we lined it up with lasers and it looks like they missed by miles but they've missed by such a small amount|.
it's so small|.
all right remember last time we saw the shape charge start to form at 5 million frames a second|?
yeah|.
I asked them to cheekily grab one looking straight down the barrel from the very beginning of the explosion at 10 million frames a second|.
10 million|.
this is actually as fast as the shimatsu could go|.
you ready for this|?
wow no that Wicked|.
that's insane footage|.
like that just shows you how did they know this by the way|?
like how did they know that this happened without watching this|?
like you watch this and you're like oh yeah yeah I can see how that kind of works|.
how did they know|?
I guess I thought that the jet would come just shoot forwards|.
but you actually have this shock wave igniting all the copper around the the rim|.
like it all hits the front but the jet at the back is still behind that and then it hits|.
so it it like hits itself before it really comes out of the door|.
and also this part here from the very first flash to where it hits the front happens in 65 frames at 10 million|.
so that's 6.5 microc seconds of time|.
well even though we've done shape charges multi times at this point that was definitely the most fascinating footage we've got out of it|.
that was your favorite|?
that was my favorite by far|.
turns out when you do shape charge versus shape charge the winner is us|.
it was weird stepping down the exposure like as we got darker and short duration on each exposure the glow became smaller until eventually you could just see the tip|.
it's just the tip that's hot|.
I mean the whole thing's hot and bright but it must be that very front layer cuz it's moving so quickly so it's constantly presenting a new Surface to the air|.
stuff in like the middle of the cone is coming to the front as the stuff at the front goes out to The Sid|.
exactly yeah|.
that was mindblowing|.
it's like brighter than 100 Suns|.
it was so bright that the explosion was like nothing|.
like a puff of smoke pretty much|.
big old thanks to the Colorado School of Minds for letting us come here and supplying us with the appropriate amount of shape charges|.
there's links in the description to the stuff they do if you're interested|.
here are some other videos that we've made here|.
thanks for watching|.
